experience,education,skills,language,communication,score
4,6,0,0,5,4,87
5,8,0,4,2,3,56
3,7,3,3,3,5,95
5,11,2,4,4,1,62
5,1,5,2,1,4,89
2,0,4,3,3,2,91
3,15,2,2,1,1,58
3,4,3,0,5,2,99
3,2,3,0,2,0,76
5,11,2,3,0,1,51
4,7,3,3,2,4,54
3,2,2,5,3,1,78
5,0,1,4,1,1,86
2,2,2,5,1,1,87
4,4,2,4,4,5,68
2,14,3,5,1,1,57
4,13,3,2,4,2,97
5,2,0,3,5,0,94
1,0,0,0,0,3,50
4,4,1,4,3,1,71
2,13,0,4,4,4,66
5,6,2,0,0,1,56
4,8,3,5,1,4,74
1,14,0,4,1,2,94
1,14,0,2,0,4,53
3,9,1,3,1,3,85
3,12,5,0,5,0,55
2,18,1,3,5,4,80
4,6,2,4,0,4,68
4,16,3,4,4,0,93
3,19,1,0,4,3,88
4,3,0,2,0,1,76
4,4,3,1,4,4,59
1,6,3,0,4,0,75
3,12,0,1,5,2,68
5,14,1,5,4,0,88
3,10,0,1,2,2,52
5,3,5,2,3,3,94
1,12,3,5,1,1,62
2,6,4,1,2,0,99
4,18,4,5,4,5,77
1,1,2,1,5,4,69
4,9,0,2,0,3,77
2,12,0,1,4,0,57
2,20,2,1,5,4,90
1,5,2,1,3,0,88
2,11,2,0,4,2,50
5,11,3,0,0,0,52
2,19,5,0,5,5,62
4,10,0,2,5,0,77
4,6,3,5,5,0,98
4,0,2,4,3,5,74
4,0,0,1,4,3,82
5,19,3,1,3,0,87
3,12,5,2,1,5,55
1,8,3,1,1,4,93
4,2,5,0,4,2,94
2,6,2,4,3,2,81
4,5,5,3,0,0,94
2,7,0,1,5,3,96
2,8,2,0,5,3,70
4,4,0,3,4,4,65
5,0,4,4,1,0,70
2,18,1,3,1,2,60
2,9,5,0,5,3,86
4,11,1,5,4,0,85
2,14,1,5,3,3,84
2,8,5,3,1,5,68
4,19,2,2,3,3,69
4,16,4,3,1,2,67
1,16,0,1,1,1,96
5,19,3,1,2,4,90
5,11,0,5,1,4,98
2,6,3,2,0,2,63
5,1,0,0,4,3,64
2,2,5,1,4,0,80
1,16,4,5,3,3,50
4,4,3,4,1,2,52
4,16,2,5,0,4,65
4,16,0,1,3,3,72
5,16,0,1,2,4,60
1,1,3,5,3,0,61
5,1,2,0,3,4,59
5,4,2,3,1,4,81
1,0,5,1,2,1,65
1,0,5,5,3,1,57
1,18,5,5,0,5,87
1,1,5,2,0,1,61
4,20,5,3,4,4,73
3,11,5,4,2,2,77
3,5,4,0,2,4,57
1,3,2,4,4,2,77
3,10,5,3,3,2,85
3,16,2,3,2,1,75
1,5,2,3,0,3,57
3,4,1,4,0,0,99
5,19,4,3,1,1,77
2,1,5,5,2,1,77
2,5,0,4,3,3,86
1,10,3,3,4,0,90
